Lng,Lat,square,livingRoom,drawingRoom,kitchen,bathRoom,ladderRatio,elevator,subway,floor_new,constructionTime_new,buildingType_1.0,buildingType_2.0,buildingType_3.0,buildingType_4.0,buildingStructure_1,buildingStructure_2,buildingStructure_3,buildingStructure_4,buildingStructure_5,buildingStructure_6,totalPrice,predict_price,error
116.315031,39.842469,92.91,2,2,1,1,0.333,1,0,15,2006,0,0,1,0,0,0,0,0,0,1,315.0,454,-44
116.467726,40.005504,68.99,2,1,1,1,0.5,0,1,7,2000,0,0,0,1,0,1,0,0,0,0,310.0,412,-33
116.586465,39.918172,36.76,1,0,1,1,0.5,1,1,18,2005,0,0,0,1,0,0,0,0,0,1,250.0,195,21
116.330198,40.07422800000001,113.02,3,2,1,2,0.667,1,1,20,2007,0,0,1,0,0,0,0,0,0,1,432.0,470,-8
116.39584,39.979426,54.39,2,1,1,1,0.333,0,1,6,1984,0,0,0,1,0,1,0,0,0,0,305.0,354,-16
116.60503500000002,40.051164,62.21,2,1,1,1,0.5,0,0,6,1994,0,0,0,1,0,1,0,0,0,0,240.0,198,17
116.233785,39.906862,62.52,2,1,1,1,0.333,0,0,6,1993,0,0,0,1,0,1,0,0,0,0,346.0,267,22
116.427644,39.872632,68.78,2,1,1,1,0.25,1,1,18,1990,1,0,0,0,0,0,0,0,0,1,473.0,363,23
116.254212,40.216336,71.65,2,1,1,1,0.333,0,0,6,1998,0,0,0,1,0,0,0,1,0,0,166.0,241,-45
116.50798,39.91836,53.91,1,1,1,1,0.4,1,1,27,2006,1,0,0,0,0,0,0,0,0,1,215.0,280,-30
116.320453,40.039032,73.7,3,1,1,1,0.5,0,1,6,1997,0,0,0,1,0,1,0,0,0,0,645.0,797,-23
116.636774,39.918867,100.92,3,2,1,1,0.5,0,0,6,1994,0,0,0,1,0,1,0,0,0,0,348.0,316,9
116.447756,39.896508,41.27,1,1,1,1,0.25,0,1,6,2003,0,0,0,1,0,0,0,0,0,1,415.0,294,28
116.553495,39.92064600000001,64.63,2,1,1,1,0.333,0,0,6,1993,0,0,0,1,0,0,0,1,0,0,385.0,282,26
116.594761,39.921447,76.64,2,1,1,1,0.5,0,1,6,1995,0,0,0,1,0,0,0,1,0,0,244.0,330,-35
116.3367,39.897727,69.1,1,1,1,1,0.667,1,1,21,2009,0,0,0,1,0,0,0,0,0,1,650.0,531,18
116.429293,39.872461,46.39,1,1,1,1,0.158,1,1,32,2005,1,0,0,0,0,0,0,0,0,1,340.0,248,26
116.372422,39.944412,54.1,1,1,1,1,0.118,1,1,10,1998,0,0,1,0,0,0,0,0,0,1,555.0,521,5
116.490126,39.920449,47.08,1,1,1,1,0.28600000000000003,1,0,16,1986,1,0,0,0,0,0,0,0,0,1,333.0,261,21
116.371787,39.905909,66.3,2,1,1,1,0.25,1,1,16,1985,0,0,1,0,0,0,0,0,0,1,640.0,634,0
116.320535,39.890098,76.4,3,1,1,1,0.25,1,1,18,1993,1,0,0,0,0,0,0,0,0,1,410.0,422,-3
116.235582,39.88187,72.34,2,1,1,1,0.25,0,0,34,2015,0,0,1,0,0,0,0,0,0,1,235.0,333,-42
116.38026200000002,39.850039,92.25,2,2,1,1,0.25,1,0,21,2005,1,0,0,0,0,0,0,0,0,1,552.0,502,8
116.413621,40.013277,140.99,3,2,1,2,0.25,1,1,24,1998,1,0,0,0,0,0,0,0,0,1,606.0,595,1
116.469248,40.012773,259.25,4,2,1,2,1.0,1,0,28,2008,0,0,1,0,0,0,0,0,0,1,1680.0,1614,3
116.482498,39.912103,144.75,3,1,1,2,0.375,1,1,28,2000,1,0,0,0,0,0,0,0,0,1,578.0,616,-6
116.378537,39.879671,299.82,6,2,1,3,0.667,1,1,16,2003,0,0,0,1,0,0,0,0,0,1,1606.0,1980,-23
116.501166,39.91891,115.35,2,1,1,2,0.3,1,1,26,2003,1,0,0,0,0,0,0,0,0,1,600.0,659,-9
116.366335,39.877194,77.92,3,1,1,1,0.333,0,0,6,1983,0,0,0,1,0,1,0,0,0,0,720.0,550,23
116.334817,39.884391,33.62,1,0,1,1,0.222,1,0,18,2009,0,0,0,1,0,0,0,0,0,1,204.7,178,12
116.312131,39.970749,52.79,1,1,1,1,0.5,0,1,6,1995,0,0,0,1,0,1,0,0,0,0,613.0,459,25
116.59247,39.926531,150.23,3,1,1,1,0.5,1,1,11,2003,0,0,0,1,0,0,0,0,0,1,705.0,826,-17
116.461647,39.99938,50.29,2,1,1,1,0.5,0,0,5,1987,0,0,0,1,0,1,0,0,0,0,265.0,275,-3
116.543161,40.097129,118.14,2,2,1,2,0.667,1,0,14,2013,0,0,0,1,0,0,0,0,0,1,488.0,629,-29
116.305063,39.91533,55.3,3,1,1,1,0.333,0,1,6,1996,0,0,0,1,0,1,0,0,0,0,532.0,482,9
116.273525,39.912989,61.8,2,1,1,1,0.333,0,1,6,1981,0,0,0,1,0,1,0,0,0,0,420.0,475,-13
116.338433,40.051503,75.16,2,1,1,1,0.5,0,0,7,2000,0,0,0,1,0,1,0,0,0,0,355.5,426,-19
